City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
277,kone,-21.0595,164.8658,29.36,64,33,2.47,NC,1707519149
278,howrah,22.5892,88.3103,15.0,77,1,2.06,IN,1707519149
279,sitka,57.0531,-135.33,5.94,70,100,11.83,US,1707519149
280,yeppoon,-23.1333,150.7333,27.88,66,10,6.39,AU,1707519149
281,brandfort,-28.7001,26.4597,16.67,95,56,3.6,ZA,1707519149
282,klyuchi,52.2667,79.1667,4.65,68,100,13.2,RU,1707519149
283,castillos,-34.1667,-53.8333,23.21,87,77,6.43,UY,1707519150
284,nemuro,43.3236,145.575,-4.24,83,100,0.9,JP,1707519150
285,copiapo,-27.3667,-70.3333,20.83,53,4,2.56,CL,1707519150
286,enewetak,11.3474,162.3373,26.46,81,99,10.48,MH,1707519150
287,cafayate,-26.073,-65.9761,22.25,78,46,1.84,AR,1707519150
288,ubari,26.5921,12.7805,14.26,26,42,5.84,LY,1707519150
289,mammoth lakes,37.6485,-118.9721,-0.37,51,100,1.79,US,1707519151
290,sarangani,5.4033,125.4636,26.61,76,49,4.07,PH,1707519151
291,tselinnoye,53.0833,85.6667,3.93,82,100,10.08,RU,1707519151
292,goias,-15.5807,-49.6362,23.0,89,100,1.13,BR,1707519151
293,paramonga,-10.6667,-77.8333,24.38,85,27,4.58,PE,1707519151
294,carnaiba,-8.7,-37.6667,26.82,61,100,5.34,BR,1707519151
295,san carlos,9.6612,-68.5827,27.66,72,94,1.61,VE,1707519152
296,nieuw amsterdam,5.8833,-55.0833,29.09,74,20,2.57,SR,1707519152
297,coyhaique,-45.5752,-72.0662,27.34,32,0,3.6,CL,1707519152
298,vila franca do campo,37.7167,-25.4333,15.23,84,100,1.94,PT,1707519152
299,carlsbad,33.1581,-117.3506,14.91,76,100,3.13,US,1707518873
300,olinda,-8.0089,-34.8553,28.85,74,40,4.63,BR,1707519075
301,port augusta,-32.5,137.7667,26.85,26,0,4.14,AU,1707519152
302,mata-utu,-13.2816,-176.1745,28.24,84,100,12.02,WF,1707519152
303,chibougamau,49.9168,-74.3659,1.79,93,100,3.6,CA,1707519153
304,port saint john's,-31.6229,29.5448,20.73,96,100,3.39,ZA,1707519153
305,maun,-19.9833,23.4167,25.98,61,0,1.54,BW,1707519153
306,laguna,38.421,-121.4238,13.75,61,0,4.12,US,1707519153
307,salta,-24.7859,-65.4117,20.33,91,40,3.6,AR,1707519153
308,cockburn town,21.4612,-71.1419,22.98,60,40,4.63,TC,1707519153
309,sinop,41.7711,34.8709,8.06,69,3,2.42,TR,1707519154
310,nouadhibou,20.931,-17.0347,19.76,69,29,7.35,MR,1707519154
311,i-n-salah,27.1935,2.4607,19.18,12,100,4.22,DZ,1707519154
